mse:0.9624195098876953, mae:0.5035839676856995
mse:0.5672549605369568, mae:0.4041806757450104
mse:0.43885788321495056, mae:0.2904765009880066
mse:0.8823534846305847, mae:0.4545879662036896
mse:0.4949341416358948, mae:0.3653606176376343
mse:0.5651684999465942, mae:0.4350678622722626
mse:0.4642946422100067, mae:0.3963756263256073
mse:0.6979857087135315, mae:0.4928436279296875
mse:0.6588935852050781, mae:0.4814074635505676
mse:0.6106371283531189, mae:0.2532734274864197
mse:0.610745906829834, mae:0.45090189576148987
mse:0.5287453532218933, mae:0.32756346464157104
mse:0.37121108174324036, mae:0.28572747111320496
mse:0.3854276239871979, mae:0.32202860713005066
mse:0.8889004588127136, mae:0.5119622349739075
mse:2.4162826538085938, mae:1.1701518297195435
mse:0.49616360664367676, mae:0.3792887032032013
mse:0.5002132058143616, mae:0.2678855359554291
mse:0.7650938630104065, mae:0.5226141214370728
mse:0.8529927730560303, mae:0.46123793721199036
mse:0.6407694816589355, mae:0.3972338140010834
mse:0.6084346771240234, mae:0.41317757964134216
mse:0.9974486231803894, mae:0.5580639839172363
mse:0.7513834834098816, mae:0.42237117886543274
mse:0.7080958485603333, mae:0.42173364758491516
mse:0.5395910739898682, mae:0.3943411409854889
mse:0.6501193642616272, mae:0.46186572313308716
mse:0.7468921542167664, mae:0.4687669575214386
mse:0.710802435874939, mae:0.4324471056461334
mse:0.7282654047012329, mae:0.4766038954257965
mse:0.8560989499092102, mae:0.44028398394584656
mse:0.750606119632721, mae:0.42964357137680054
mse:0.48021870851516724, mae:0.3518672585487366
mse:0.41809797286987305, mae:0.41553154587745667
mse:0.6498612761497498, mae:0.4087669253349304
mse:0.6009558439254761, mae:0.3839850425720215
mse:0.5304209589958191, mae:0.3567487597465515
mse:0.8009195923805237, mae:0.6079122424125671
mse:0.4908260405063629, mae:0.38858938217163086
mse:0.6224614977836609, mae:0.36603209376335144
mse:0.5100285410881042, mae:0.2494448870420456
mse:0.34543830156326294, mae:0.3298330307006836
mse:0.034238386899232864, mae:0.13674132525920868
mse:1.075413703918457, mae:0.49757570028305054
mse:0.31515365839004517, mae:0.4309225082397461
